run,base_seed,nsga_hv,semo_strict_hv,semo_loose_hv,semo2209_hv,moead_hv,winner
1,2025,208.97993448048112,185.1860170987709,269.4093661995731,227.99236810653224,210.099746932083,SEMO-loose
2,2026,207.46634996908415,175.41433171885552,264.8022078656894,233.63266570351695,212.27298883713812,SEMO-loose
3,2027,203.76209841840904,181.78975431189806,269.6076294250846,230.62553882010164,211.25208992883387,SEMO-loose
4,2028,208.95051071895145,180.63143163525268,274.4296875295239,232.4517249102139,214.10125407802792,SEMO-loose
5,2029,210.9463480254516,182.50480003681906,273.097991798601,228.04158645167752,210.22555607075327,SEMO-loose
6,2030,209.47949674583188,182.47121589492235,271.9624213836864,233.44911299851654,209.98063403364046,SEMO-loose
7,2031,214.78615716135954,179.57650469001067,270.9748018467944,233.22107162188388,211.76418083762263,SEMO-loose
8,2032,211.77057657043878,181.1107375226052,285.8160130547362,230.71853211354698,214.8738277523965,SEMO-loose
9,2033,202.98186470309895,189.2978577899122,272.63032151431923,229.62224431714696,211.3063990021428,SEMO-loose
10,2034,203.29379969637287,178.4614516958328,266.0596480481385,230.3986833018397,212.7308010510602,SEMO-loose
